Date;Hour;US_ambassy
01/01/2023 00:00;01:00:00;15
01/01/2023 00:00;02:00:00;23
01/01/2023 00:00;03:00:00;6
01/01/2023 00:00;04:00:00;14
01/01/2023 00:00;05:00:00;15
01/01/2023 00:00;06:00:00;20
01/01/2023 00:00;07:00:00;32
01/01/2023 00:00;08:00:00;24
01/01/2023 00:00;09:00:00;22
01/01/2023 00:00;10:00:00;13
01/01/2023 00:00;11:00:00;14
01/01/2023 00:00;12:00:00;10
01/01/2023 00:00;13:00:00;10
01/01/2023 00:00;14:00:00;10
01/01/2023 00:00;15:00:00;6
01/01/2023 00:00;16:00:00;7
01/01/2023 00:00;17:00:00;11
01/01/2023 00:00;18:00:00;12
01/01/2023 00:00;19:00:00;27
01/01/2023 00:00;20:00:00;18
01/01/2023 00:00;21:00:00;15
01/01/2023 00:00;22:00:00;11
01/01/2023 00:00;23:00:00;15
02/01/2023 00:00;00:00:00;9
02/01/2023 00:00;01:00:00;7
02/01/2023 00:00;02:00:00;10
02/01/2023 00:00;03:00:00;15
02/01/2023 00:00;04:00:00;5
02/01/2023 00:00;05:00:00;9
02/01/2023 00:00;06:00:00;19
02/01/2023 00:00;07:00:00;24
02/01/2023 00:00;08:00:00;27
02/01/2023 00:00;09:00:00;38
02/01/2023 00:00;10:00:00;23
02/01/2023 00:00;11:00:00;17
02/01/2023 00:00;12:00:00;14
02/01/2023 00:00;13:00:00;17
02/01/2023 00:00;14:00:00;17
02/01/2023 00:00;15:00:00;17
02/01/2023 00:00;16:00:00;12
02/01/2023 00:00;17:00:00;14
02/01/2023 00:00;18:00:00;15
02/01/2023 00:00;19:00:00;22
02/01/2023 00:00;20:00:00;33
02/01/2023 00:00;21:00:00;17
02/01/2023 00:00;22:00:00;8
02/01/2023 00:00;23:00:00;17
03/01/2023 00:00;00:00:00;17
03/01/2023 00:00;01:00:00;14
03/01/2023 00:00;02:00:00;10
03/01/2023 00:00;03:00:00;6
03/01/2023 00:00;04:00:00;11
03/01/2023 00:00;05:00:00;14
03/01/2023 00:00;06:00:00;25
03/01/2023 00:00;07:00:00;29
03/01/2023 00:00;08:00:00;37
03/01/2023 00:00;09:00:00;27
03/01/2023 00:00;10:00:00;21
03/01/2023 00:00;11:00:00;23
03/01/2023 00:00;12:00:00;15
03/01/2023 00:00;13:00:00;12
03/01/2023 00:00;14:00:00;13
03/01/2023 00:00;15:00:00;14
03/01/2023 00:00;16:00:00;19
03/01/2023 00:00;17:00:00;17
03/01/2023 00:00;18:00:00;22
03/01/2023 00:00;19:00:00;42
03/01/2023 00:00;20:00:00;33
03/01/2023 00:00;21:00:00;31
03/01/2023 00:00;22:00:00;15
03/01/2023 00:00;23:00:00;8
04/01/2023 00:00;00:00:00;13
04/01/2023 00:00;01:00:00;10
