Date_Mada;pm2,5_atm_a;pm2,5_atm_b;Ambohidahy;Humidity;Temperature
12/31/2022 03:00:00;27,165;26,648;26,9065;58,5;71,7
12/31/2022 04:00:00;35,185;35,817;35,501;60,267;70,267
12/31/2022 05:00:00;62,739;67,074;64,9065;60,067;70,466
12/31/2022 06:00:00;89,155;96,567;92,861;54,6;74,133
12/31/2022 07:00:00;59,061;62,807;60,934;33,9;90,233
12/31/2022 08:00:00;68,325;72,785;70,555;26,033;97,867
12/31/2022 09:00:00;79,463;82,625;81,044;31,758;90,95
12/31/2022 10:00:00;60,468;61,89;61,179;25,534;95,334
12/31/2022 11:00:00;56,005;57,51;56,7575;22,9;97,334
12/31/2022 12:00:00;44,915;46,657;45,786;22,6;92,167
12/31/2022 13:00:00;39,014;42,687;40,8505;21,5;92,534
12/31/2022 14:00:00;37,758;40,439;39,0985;23,8;92,55
12/31/2022 15:00:00;42,898;46,345;44,6215;23,834;93,167
12/31/2022 16:00:00;31,005;33,362;32,1835;29,383;89,758
12/31/2022 17:00:00;21,611;22,158;21,8845;35,8;83,7
12/31/2022 18:00:00;31,398;32,553;31,9755;39,667;81,666
12/31/2022 19:00:00;36,059;36,96;36,5095;43,367;80,434
12/31/2022 20:00:00;33,491;34,995;34,243;49,066;78,6
12/31/2022 21:00:00;38,954;38,862;38,908;53,166;77,466
12/31/2022 22:00:00;32,461;32,479;32,47;53,933;76,566
12/31/2022 23:00:00;35,359;37,071;36,215;54;76
01/01/2023 00:00:00;31,07;31,671;31,3705;54,567;75,466
01/01/2023 01:00:00;33,193;33,291;33,242;56,767;73,867
01/01/2023 02:00:00;24,666;24,538;24,602;58,2;72,334
01/01/2023 03:00:00;23,997;24,326;24,1615;57,5;72,333
01/01/2023 04:00:00;32,458;33,593;33,0255;57,034;72,034
01/01/2023 05:00:00;42,85;45,002;43,926;57,666;71,867
01/01/2023 06:00:00;52,773;55,162;53,9675;54,267;74,067
01/01/2023 07:00:00;27,698;29,546;28,622;31,367;91,867
01/01/2023 08:00:00;35,355;37,564;36,4595;23,666;98,767
01/01/2023 09:00:00;40,105;42,992;41,5485;20,334;103,15
01/01/2023 10:00:00;41,889;44,014;42,9515;23,033;98,867
01/01/2023 11:00:00;33,889;37,373;35,631;24,966;95,767
01/01/2023 12:00:00;31,255;33,135;32,195;28;92,3
01/01/2023 13:00:00;37,072;40,766;38,919;27,733;92,233
01/01/2023 14:00:00;39,734;44,371;42,0525;28,3;92,434
01/01/2023 15:00:00;34,883;38,205;36,544;28,967;91,3
01/01/2023 16:00:00;38,446;41,615;40,0305;30,066;90,667
01/01/2023 17:00:00;36,24;37,228;36,734;35,067;86,733
01/01/2023 18:00:00;43,614;45,412;44,513;55,967;75,733
01/01/2023 19:00:00;50,355;51,671;51,013;57,933;75
01/01/2023 20:00:00;55,935;59,183;57,559;55,3;75
01/01/2023 21:00:00;40,353;41,692;41,0225;56,3;75,133
01/01/2023 22:00:00;32,88;33,342;33,111;55,4;75,267
01/01/2023 23:00:00;20,691;21,211;20,951;57,166;74,934
01/02/2023 00:00:00;16,688;17,438;17,063;62,033;72,434
01/02/2023 01:00:00;11,227;11,335;11,281;63,2;71,733
01/02/2023 02:00:00;15,274;15,947;15,6105;64,5;70,9
01/02/2023 03:00:00;25,358;26,462;25,91;63;71,934
01/02/2023 04:00:00;36,838;37,666;37,252;63,733;71,8
01/02/2023 05:00:00;77,942;82,737;80,3395;64,834;71,867
01/02/2023 06:00:00;88,41;92,638;90,524;60,308;74,9
01/02/2023 07:00:00;71,276;75,154;73,215;53,466;78,467
01/02/2023 08:00:00;57,116;60,257;58,6865;43,983;85,709
01/02/2023 09:00:00;41,535;42,816;42,1755;29,392;96,825
01/02/2023 10:00:00;45,563;46,741;46,152;26,722;99,356
01/02/2023 11:00:00;54,642;56,281;55,4615;29,434;95,725
01/02/2023 12:00:00;39,13;39,972;39,551;31,9;91,525
01/02/2023 13:00:00;41,154;43,334;42,244;29,892;92,083
01/02/2023 14:00:00;38,977;42,288;40,6325;30,267;90,933
01/02/2023 15:00:00;32,316;34,689;33,5025;50,792;79,767
01/02/2023 16:00:00;32,734;33,779;33,2565;62,6;71,9
01/02/2023 17:00:00;39,38;41,209;40,2945;67,6;69,6
01/02/2023 18:00:00;43,927;44,636;44,2815;66,9;70,8
01/02/2023 19:00:00;46,668;48,016;47,342;66,858;71,091
01/02/2023 20:00:00;39,54;40,233;39,8865;66,1;70,767
01/02/2023 21:00:00;37,693;39,921;38,807;64,034;70,9
01/02/2023 22:00:00;20,264;20,507;20,3855;63,767;70,867
01/02/2023 23:00:00;14,956;16,063;15,5095;65,166;69,934
01/03/2023 00:00:00;10,066;9,977;10,0215;63,567;70,034
01/03/2023 01:00:00;17,627;18,188;17,9075;62,867;70,433
01/03/2023 02:00:00;21,497;21,557;21,527;63,067;70,633
01/03/2023 03:00:00;21,38;21,271;21,3255;63,666;70,633
01/03/2023 04:00:00;43,314;43,913;43,6135;63,8;70,334
01/03/2023 05:00:00;52,355;54,418;53,3865;62,067;70,633
01/03/2023 06:00:00;55,04;59,021;57,0305;57,6;71,7
01/03/2023 07:00:00;54,407;57,305;55,856;44,5;80,083
01/03/2023 08:00:00;34,988;36,416;35,702;38,458;83,805
01/03/2023 09:00:00;40,236;42,002;41,119;29,291;92,086
01/03/2023 10:00:00;36,565;39,089;37,827;24,425;95,6
01/03/2023 11:00:00;22,777;24,877;23,827;21,572;95,416
01/03/2023 12:00:00;23,974;25,912;24,943;21,742;91,15
01/03/2023 13:00:00;21,47;23,441;22,4555;25,911;88,767
01/03/2023 14:00:00;25,148;27,184;26,166;25,608;89,05
01/03/2023 15:00:00;29,671;30,892;30,2815;24,892;89,416
01/03/2023 16:00:00;34,687;38,238;36,4625;26,867;86,934
01/03/2023 17:00:00;39,99;42,719;41,3545;30,067;84,9
01/03/2023 18:00:00;34,962;35,466;35,214;38,433;81,233
01/03/2023 19:00:00;33,263;34,073;33,668;49,8;77,533
01/03/2023 20:00:00;27,7;28,264;27,982;55,133;75,1
01/03/2023 21:00:00;21,843;23,649;22,746;56,525;74
01/03/2023 22:00:00;12,223;12,898;12,5605;56,4;74
01/03/2023 23:00:00;12,521;12,434;12,4775;58,133;72,934
01/04/2023 00:00:00;14,826;14,518;14,672;59,067;72,1
01/04/2023 01:00:00;19,97;19,46;19,715;57,534;70,9
01/04/2023 02:00:00;27,072;26,63;26,851;56,9;71,5
01/04/2023 03:00:00;34,543;34,401;34,472;56,567;71,633
01/04/2023 04:00:00;38,216;38,355;38,2855;56,7;71
01/04/2023 05:00:00;50,52;53,779;52,1495;53,166;71,4
01/04/2023 06:00:00;51,109;55,087;53,098;50,7;72,966
01/04/2023 07:00:00;44,283;46,299;45,291;42,584;79,525
01/04/2023 08:00:00;45,689;47,829;46,759;31,834;90,225
01/04/2023 09:00:00;43,094;45,701;44,3975;27,883;94,733
01/04/2023 10:00:00;28,127;29,951;29,039;26,034;94,336
01/04/2023 11:00:00;25,133;27,556;26,3445;24,95;94,742
01/04/2023 12:00:00;25,982;28,145;27,0635;28,691;90,492
01/04/2023 13:00:00;27,752;29,405;28,5785;29,284;89,25
01/04/2023 14:00:00;25,851;28,105;26,978;31,633;87,358
01/04/2023 15:00:00;39,726;42,889;41,3075;42,367;84,628
01/04/2023 16:00:00;41,311;45,385;43,348;39,434;84,166
01/04/2023 17:00:00;31,394;33,318;32,356;39,4;82,167
01/04/2023 18:00:00;34,924;37,433;36,1785;43,6;79,733
01/04/2023 19:00:00;31,634;33,075;32,3545;49,733;77,566
01/04/2023 20:00:00;27,895;28,927;28,411;55,4;74,867
01/04/2023 21:00:00;26,127;26,883;26,505;60,308;71,733
01/04/2023 22:00:00;21,318;22,465;21,8915;61,666;70,4
01/04/2023 23:00:00;13,835;14,654;14,2445;59,033;70,767
