Date_mada;pm2,5_atm_a;pm2,5_atm_b;Ampandrianomby;Humidity;Temperature
12/31/2022 03:00:00;36,956;35,465;36,2105;63,166;71,9
12/31/2022 04:00:00;42,254;40,826;41,54;65,2;70,3
12/31/2022 05:00:00;49,107;47,298;48,2025;66,034;70,3
12/31/2022 06:00:00;65,654;61,728;63,691;61,333;73,067
12/31/2022 07:00:00;49,076;47,621;48,3485;46,733;81,566
12/31/2022 08:00:00;41,731;40,257;40,994;43,1;82,267
12/31/2022 09:00:00;57,959;55,077;56,518;40,667;84,667
12/31/2022 10:00:00;53,32;51,398;52,359;36,867;86,066
12/31/2022 11:00:00;47,089;45,684;46,3865;33,133;88,4
12/31/2022 12:00:00;45,408;43,936;44,672;31,5;88,8
12/31/2022 13:00:00;38,99;37,564;38,277;27,133;91
12/31/2022 14:00:00;30,19;28,417;29,3035;25,9;92,9
12/31/2022 15:00:00;28,89;27,11;28;28,867;89,667
12/31/2022 16:00:00;25,849;23,839;24,844;34,067;87,6
12/31/2022 17:00:00;24,601;23,155;23,878;39,067;82,7
12/31/2022 18:00:00;33,301;31,886;32,5935;43,166;80,733
12/31/2022 19:00:00;33,148;31,605;32,3765;48,3;78,834
12/31/2022 20:00:00;35,231;33,587;34,409;55;77,1
12/31/2022 21:00:00;38,73;37,059;37,8945;58,733;76,034
12/31/2022 22:00:00;34,155;32,954;33,5545;58,6;75,9
12/31/2022 23:00:00;32,44;31,137;31,7885;58,966;75
01/01/2023 00:00:00;30,471;29,136;29,8035;59,633;74,733
01/01/2023 01:00:00;27,682;26,096;26,889;62,166;73,2
01/01/2023 02:00:00;30,086;28,892;29,489;63,8;72,267
01/01/2023 03:00:00;27,579;26,401;26,99;62,534;72
01/01/2023 04:00:00;33,52;32,168;32,844;63,067;71,4
01/01/2023 05:00:00;41,648;40,687;41,1675;64,067;71,034
01/01/2023 06:00:00;34,311;33,515;33,913;53,633;77,367
01/01/2023 07:00:00;26,101;25,005;25,553;41,4;83,7
01/01/2023 08:00:00;22,955;21,056;22,0055;41,633;82,8
01/01/2023 09:00:00;19,253;17,748;18,5005;36,334;86,867
01/01/2023 10:00:00;21,835;20,543;21,189;32,467;89,8
01/01/2023 11:00:00;23,464;21,706;22,585;32,567;89,467
01/01/2023 12:00:00;17,724;16,099;16,9115;32,4;90,267
01/01/2023 13:00:00;19,184;17,403;18,2935;32,667;90,667
01/01/2023 14:00:00;15,732;14,373;15,0525;32,833;90,966
01/01/2023 15:00:00;15,448;14,418;14,933;34,8;89,4
01/01/2023 16:00:00;18,152;16,372;17,262;34,267;88,267
01/01/2023 17:00:00;24,541;22,672;23,6065;40,033;84,1
01/01/2023 18:00:00;37,339;35,672;36,5055;59,433;74,6
01/01/2023 19:00:00;53,483;50,377;51,93;62,6;74,834
01/01/2023 20:00:00;47,12;45,211;46,1655;62,4;75
01/01/2023 21:00:00;42,069;39,851;40,96;63,8;74,633
01/01/2023 22:00:00;30,656;28,38;29,518;64,9;74,1
01/01/2023 23:00:00;23,73;21,439;22,5845;64,4;73,834
01/02/2023 00:00:00;15,422;13,645;14,5335;66,467;72,166
01/02/2023 01:00:00;14,623;13,122;13,8725;68,7;71,733
01/02/2023 02:00:00;15,491;14,438;14,9645;67,8;71,9
01/02/2023 03:00:00;18,041;16,59;17,3155;67,1;72
01/02/2023 04:00:00;28,773;26,81;27,7915;68,733;72
01/02/2023 05:00:00;53,081;49,568;51,3245;70,4;72,1
01/02/2023 06:00:00;58,367;54,488;56,4275;65,933;74,867
01/02/2023 07:00:00;43,858;42,945;43,4015;61,567;76,2
01/02/2023 08:00:00;34,397;32,581;33,489;54,434;80,6
01/02/2023 09:00:00;29,566;28,347;28,9565;48,3;82,6
01/02/2023 10:00:00;28,629;27,218;27,9235;42,767;85,533
01/02/2023 11:00:00;32,954;31,275;32,1145;41,4;86,933
01/02/2023 12:00:00;34,453;33,118;33,7855;40,2;87,666
01/02/2023 13:00:00;23,12;21,062;22,091;37,733;87,834
01/02/2023 14:00:00;19,439;17,484;18,4615;39,8;86,133
01/02/2023 15:00:00;19,94;17,904;18,922;53;77,966
01/02/2023 16:00:00;28,202;26,271;27,2365;61,034;72,966
01/02/2023 17:00:00;40,972;38,213;39,5925;65,7;71,334
01/02/2023 18:00:00;47,54;45,471;46,5055;67,733;72
01/02/2023 19:00:00;32,8;30,546;31,673;68,867;72
01/02/2023 20:00:00;35,074;32,608;33,841;69,7;71
01/02/2023 21:00:00;23,204;21,202;22,203;68,542;71
01/02/2023 22:00:00;22,244;20,581;21,4125;69,067;70,5
01/02/2023 23:00:00;19,825;17,795;18,81;70,1;70
01/03/2023 00:00:00;15,855;14,844;15,3495;69,133;70
01/03/2023 01:00:00;18,544;16,997;17,7705;70,233;70,034
01/03/2023 02:00:00;23,822;21,901;22,8615;69,6;70,7
01/03/2023 03:00:00;30,753;28,763;29,758;69,5;70,2
01/03/2023 04:00:00;35,54;34,472;35,006;70,1;70,066
01/03/2023 05:00:00;45,573;43,928;44,7505;67,8;70,267
01/03/2023 06:00:00;42,659;40,934;41,7965;61,267;73,367
01/03/2023 07:00:00;33,852;32,243;33,0475;48,567;79,933
01/03/2023 08:00:00;27,832;26,508;27,17;46,966;79,233
01/03/2023 09:00:00;20,17;19,044;19,607;42,467;81,867
01/03/2023 10:00:00;19,257;17,733;18,495;39,867;83,034
01/03/2023 11:00:00;22,569;23,179;22,874;32,834;84,267
01/03/2023 12:00:00;54,56;56,523;55,5415;29,3;87,9
01/03/2023 13:00:00;31,668;31,65;31,659;30,867;86,966
01/03/2023 14:00:00;21,095;20,22;20,6575;31,434;85,867
01/03/2023 15:00:00;17,939;16,437;17,188;30,267;85,566
01/03/2023 16:00:00;21,013;19,439;20,226;30,6;85,067
01/03/2023 17:00:00;32,855;31,318;32,0865;34,267;83,6
01/03/2023 18:00:00;40,796;39,495;40,1455;42,867;79,867
01/03/2023 19:00:00;37,415;35,692;36,5535;55,434;75,9
01/03/2023 20:00:00;30,881;28,91;29,8955;60,234;74,2
01/03/2023 21:00:00;18,679;16,411;17,545;62,067;73
01/03/2023 22:00:00;24,437;23,011;23,724;61,367;73
01/03/2023 23:00:00;19,39;18,139;18,7645;64,133;72,1
01/04/2023 00:00:00;24,61;22,969;23,7895;64,567;71,6
01/04/2023 01:00:00;29,847;28,258;29,0525;61,334;70,966
01/04/2023 02:00:00;38,517;36,91;37,7135;62,5;70,966
01/04/2023 03:00:00;43,414;41,981;42,6975;61,367;70,966
01/04/2023 04:00:00;41,989;40,483;41,236;61,633;70,867
01/04/2023 05:00:00;40,641;39,363;40,002;58,334;71
01/04/2023 06:00:00;29,139;27,496;28,3175;57,1;71,534
01/04/2023 07:00:00;28,701;26,904;27,8025;51,666;75,7
01/04/2023 08:00:00;23,965;22,145;23,055;47,733;79,2
01/04/2023 09:00:00;19,852;18,256;19,054;45,1;80,967
01/04/2023 10:00:00;12,346;11,414;11,88;38,534;83,767
01/04/2023 11:00:00;10,759;9,658;10,2085;36,1;86,4
01/04/2023 12:00:00;11,177;9,976;10,5765;35,5;85,934
01/04/2023 13:00:00;9,246;8,111;8,6785;35,133;85,433
01/04/2023 14:00:00;10,644;9,05;9,847;35,767;85,7
01/04/2023 15:00:00;20,783;18,646;19,7145;48,3;82,8
01/04/2023 16:00:00;24,877;22,39;23,6335;46,4;81,6
01/04/2023 17:00:00;24,221;22,705;23,463;45,533;79,733
01/04/2023 18:00:00;30,357;28,918;29,6375;49,933;77,5
01/04/2023 19:00:00;32,5;30,344;31,422;55,633;75,733
01/04/2023 20:00:00;37,18;34,613;35,8965;60,933;73,367
01/04/2023 21:00:00;24,372;22,364;23,368;63,433;70,966
01/04/2023 22:00:00;21,224;19,072;20,148;66,6;70
01/04/2023 23:00:00;14,835;13,446;14,1405;63,267;70,166
01/05/2023 00:00:00;18,204;16,863;17,5335;64,167;69,466
01/05/2023 01:00:00;16,012;14,801;15,4065;65,733;68,2
01/05/2023 02:00:00;21,473;20,064;20,7685;67,834;68
01/05/2023 03:00:00;25,094;23,618;24,356;68,434;67,933
01/05/2023 04:00:00;34,714;33,874;34,294;66,7;68
01/05/2023 05:00:00;48,237;46,602;47,4195;66,034;67,966
01/05/2023 06:00:00;52,914;49,978;51,446;63,4;69,767
01/05/2023 07:00:00;42,915;40,901;41,908;48,933;77,9
01/05/2023 08:00:00;29,245;27,248;28,2465;46,033;78,933
