Date;Hour;Andraharo
01/01/2023;01:00:00;34,9952276
01/01/2023;02:00:00;37,9810676
01/01/2023;03:00:00;35,111216
01/01/2023;04:00:00;41,8339496
01/01/2023;05:00:00;51,392657
01/01/2023;06:00:00;43,0615892
01/01/2023;07:00:00;33,4609652
01/01/2023;08:00:00;29,3870162
01/01/2023;09:00:00;25,3618742
01/01/2023;10:00:00;28,4493476
01/01/2023;11:00:00;30,052514
01/01/2023;12:00:00;23,5370666
01/01/2023;13:00:00;25,1241554
01/01/2023;14:00:00;21,402191
01/01/2023;15:00:00;21,2649572
01/01/2023;16:00:00;23,9395808
01/01/2023;17:00:00;31,2256046
01/01/2023;18:00:00;46,0388162
01/01/2023;19:00:00;63,752312
01/01/2023;20:00:00;57,1323602
01/01/2023;21:00:00;51,154364
01/01/2023;22:00:00;38,0143712
01/01/2023;23:00:00;30,0519398
02/01/2023;00:00:00;20,8061714
02/01/2023;01:00:00;20,047079
02/01/2023;02:00:00;21,3011318
02/01/2023;03:00:00;24,0010202
02/01/2023;04:00:00;36,0316586
02/01/2023;05:00:00;63,0569558
02/01/2023;06:00:00;68,917241
02/01/2023;07:00:00;53,9581826
02/01/2023;08:00:00;42,5746676
02/01/2023;09:00:00;37,3695446
02/01/2023;10:00:00;36,1832474
02/01/2023;11:00:00;40,9961918
02/01/2023;12:00:00;42,9151682
02/01/2023;13:00:00;29,4852044
02/01/2023;14:00:00;25,3170866
02/01/2023;15:00:00;25,8459248
02/01/2023;16:00:00;35,3942966
02/01/2023;17:00:00;49,583927
02/01/2023;18:00:00;57,5228162
02/01/2023;19:00:00;40,4891732
02/01/2023;20:00:00;42,9789044
02/01/2023;21:00:00;29,6138252
02/01/2023;22:00:00;28,706015
02/01/2023;23:00:00;25,717304
03/01/2023;00:00:00;21,7432658
03/01/2023;01:00:00;24,5235422
03/01/2023;02:00:00;30,3700466
03/01/2023;03:00:00;38,2899872
03/01/2023;04:00:00;44,3167904
03/01/2023;05:00:00;55,5073742
03/01/2023;06:00:00;52,1150006
03/01/2023;07:00:00;42,067649
03/01/2023;08:00:00;35,317928
03/01/2023;09:00:00;26,6325788
03/01/2023;10:00:00;25,355558
03/01/2023;11:00:00;30,3844016
03/01/2023;12:00:00;67,8997586
03/01/2023;13:00:00;40,4730956
03/01/2023;14:00:00;27,838973
03/01/2023;15:00:00;23,8545992
03/01/2023;16:00:00;27,3434384
03/01/2023;17:00:00;40,9640366
03/01/2023;18:00:00;50,2189922
03/01/2023;19:00:00;46,0939394
03/01/2023;20:00:00;38,4478922
03/01/2023;21:00:00;24,264578
03/01/2023;22:00:00;31,3605416
03/01/2023;23:00:00;25,6650518
04/01/2023;00:00:00;31,4357618
04/01/2023;01:00:00;37,479791
04/01/2023;02:00:00;47,4260834
04/01/2023;03:00:00;53,149709
04/01/2023;04:00:00;51,4713224
04/01/2023;05:00:00;50,0541968
04/01/2023;06:00:00;36,635717
04/01/2023;07:00:00;36,044291
04/01/2023;08:00:00;30,592262
04/01/2023;09:00:00;25,9975136
04/01/2023;10:00:00;17,758892
04/01/2023;11:00:00;15,8393414
04/01/2023;12:00:00;16,2619526
04/01/2023;13:00:00;14,0822894
04/01/2023;14:00:00;15,4241948
04/01/2023;15:00:00;26,7560318
04/01/2023;16:00:00;31,2566114
04/01/2023;17:00:00;31,0608092
04/01/2023;18:00:00;38,151605
04/01/2023;19:00:00;40,2009248
04/01/2023;20:00:00;45,3394406
04/01/2023;21:00:00;30,9517112
04/01/2023;22:00:00;27,2538632
04/01/2023;23:00:00;20,3548502
05/01/2023;00:00:00;24,2513714
05/01/2023;01:00:00;21,8087246
05/01/2023;02:00:00;27,9664454
05/01/2023;03:00:00;32,0863304
05/01/2023;04:00:00;43,4991296
05/01/2023;05:00:00;58,5724538
05/01/2023;06:00:00;63,1964864
05/01/2023;07:00:00;52,2430472
05/01/2023;08:00:00;36,5541806
05/01/2023;09:00:00;32,9585402
05/01/2023;10:00:00;27,0454286
05/01/2023;11:00:00;20,0648792
05/01/2023;12:00:00;13,2163958
05/01/2023;13:00:00;18,3135692
05/01/2023;14:00:00;22,0096946
05/01/2023;15:00:00;20,3519792
05/01/2023;16:00:00;26,4442412
05/01/2023;17:00:00;32,8827458
05/01/2023;18:00:00;39,8747792
05/01/2023;19:00:00;44,2886546
05/01/2023;20:00:00;37,2064718
05/01/2023;21:00:00;35,2495982
05/01/2023;22:00:00;40,000529
05/01/2023;23:00:00;36,337133
06/01/2023;00:00:00;33,9163058
06/01/2023;01:00:00;33,0079214
06/01/2023;02:00:00;34,6667852
06/01/2023;03:00:00;33,9662612
06/01/2023;04:00:00;40,0786202
06/01/2023;05:00:00;57,349982
06/01/2023;06:00:00;53,9070788
06/01/2023;07:00:00;37,6055408
06/01/2023;08:00:00;25,077071
06/01/2023;09:00:00;25,3997714
06/01/2023;10:00:00;20,6189822
06/01/2023;11:00:00;21,3212288
06/01/2023;12:00:00;19,4303882
06/01/2023;13:00:00;16,2165908
06/01/2023;14:00:00;11,1722438
06/01/2023;15:00:00;10,902944
06/01/2023;16:00:00;15,0871394
06/01/2023;17:00:00;20,627021
06/01/2023;18:00:00;32,992418
06/01/2023;19:00:00;28,9000946
06/01/2023;20:00:00;23,2735088
06/01/2023;21:00:00;15,7727342
06/01/2023;22:00:00;16,7161448
06/01/2023;23:00:00;15,3857234
07/01/2023;00:00:00;15,4597952
07/01/2023;01:00:00;13,817009
07/01/2023;02:00:00;15,5149184
07/01/2023;03:00:00;20,5299812
07/01/2023;04:00:00;33,0217022
07/01/2023;05:00:00;48,6761168
07/01/2023;06:00:00;45,1344512
