Date_mada;pm2,5_atm_a;pm2,5_atm_b;Antsakaviro;Humidity;Temperature
12/31/2022 03:00:00;24,817;23,557;24,187;41;85
12/31/2022 04:00:00;25,273;24,163;24,718;41;85
12/31/2022 05:00:00;25,098;23,892;24,495;41;85
12/31/2022 06:00:00;25,936;24,834;25,385;41;85
12/31/2022 07:00:00;28,559;28,61;28,5845;41,166;85,5
12/31/2022 08:00:00;29,43;29,842;29,636;41,433;86
12/31/2022 09:00:00;31,47;32,049;31,7595;41,1;87
12/31/2022 10:00:00;36,997;38,237;37,617;40,8;87
12/31/2022 11:00:00;39,264;41,279;40,2715;41;87,034
12/31/2022 12:00:00;39,425;41,129;40,277;40,167;87,834
12/31/2022 13:00:00;36,319;37,369;36,844;38,633;88
12/31/2022 14:00:00;32,94;33,811;33,3755;38,1;88
12/31/2022 15:00:00;29,82;30,942;30,381;37,233;88
12/31/2022 16:00:00;28,562;29,005;28,7835;37,3;88
12/31/2022 17:00:00;26,14;25,149;25,6445;38,267;88
12/31/2022 18:00:00;25,98;24,886;25,433;38;87,6
12/31/2022 19:00:00;26,805;26,047;26,426;38,334;87,066
12/31/2022 20:00:00;26,25;25,41;25,83;39,233;87
12/31/2022 21:00:00;26,773;26,194;26,4835;40;87
12/31/2022 22:00:00;26,309;25,497;25,903;40,534;87
12/31/2022 23:00:00;25,355;23,584;24,4695;41;87
01/01/2023 00:00:00;23,296;21,946;22,621;41;86,567
01/01/2023 01:00:00;22,415;20,92;21,6675;41;86
01/01/2023 02:00:00;20,982;19,983;20,4825;41;86
01/01/2023 03:00:00;19,969;18,416;19,1925;41;86
01/01/2023 04:00:00;18,652;17,516;18,084;41;86
01/01/2023 05:00:00;19,837;18,691;19,264;41;85,966
01/01/2023 06:00:00;22,63;21,43;22,03;41;86
01/01/2023 07:00:00;22,581;21,553;22,067;40,267;86
01/01/2023 08:00:00;20,345;19,294;19,8195;40,1;86,966
01/01/2023 09:00:00;19,268;18,163;18,7155;40,433;87,334
01/01/2023 10:00:00;19,076;17,983;18,5295;40,4;88
01/01/2023 11:00:00;20,918;20,333;20,6255;40,433;88
01/01/2023 12:00:00;23,852;23,004;23,428;40;88
01/01/2023 13:00:00;22,607;21,448;22,0275;39,1;88
01/01/2023 14:00:00;20,681;19,468;20,0745;39;88,767
01/01/2023 15:00:00;18,188;17,179;17,6835;38,733;89
01/01/2023 16:00:00;16,966;16,062;16,514;39;89
01/01/2023 17:00:00;16,872;15,939;16,4055;39,7;88,733
01/01/2023 18:00:00;18,556;17,823;18,1895;40;88
01/01/2023 19:00:00;18,442;17,601;18,0215;40;88
01/01/2023 20:00:00;20,395;19,619;20,007;40;87,233
01/01/2023 21:00:00;23,954;22,736;23,345;40;87
01/01/2023 22:00:00;24,257;23,075;23,666;40,067;87
01/01/2023 23:00:00;22,404;21,297;21,8505;40,65;87
01/02/2023 00:00:00;19,349;18,296;18,8225;41;87
01/02/2023 01:00:00;16,348;15,331;15,8395;41;87
01/02/2023 02:00:00;13,429;12,679;13,054;41;86,966
01/02/2023 03:00:00;12,148;11,014;11,581;41;86,2
01/02/2023 04:00:00;11,47;10,573;11,0215;40,933;86
01/02/2023 05:00:00;13,017;11,903;12,46;40,834;86
01/02/2023 06:00:00;17,275;16,114;16,6945;41;86
01/02/2023 07:00:00;24,551;23,514;24,0325;41;86
01/02/2023 08:00:00;27,059;26,62;26,8395;41;86,5
01/02/2023 09:00:00;27,022;27,008;27,015;41,666;87
01/02/2023 10:00:00;27,474;27,399;27,4365;42;87,5
01/02/2023 11:00:00;28,395;28,366;28,3805;41,933;88
01/02/2023 12:00:00;28,669;29,252;28,9605;41,933;88
01/02/2023 13:00:00;28,3;28,553;28,4265;41,1;88
