Date_mada;pm2,5_atm_a;pm2,5_atm_b;Soanierana;Humidity;Temperature
03/30/2023 12:00:00;9,902;8,821;9,3615;40,45;88,017
03/30/2023 13:00:00;8,742;7,816;8,279;40;87,8
03/30/2023 14:00:00;12,47;11,888;12,179;41,367;86,6
03/30/2023 15:00:00;14,601;13,275;13,938;49,733;82,6
03/30/2023 16:00:00;33,903;32,164;33,0335;60,534;78,5
03/30/2023 17:00:00;29,157;27,501;28,329;60,667;77,566
03/30/2023 18:00:00;38,38;35,935;37,1575;64,567;75,733
03/30/2023 19:00:00;30,764;28,702;29,733;65,3;73,3
03/30/2023 20:00:00;4,444;3,638;4,041;70,2;69,166
03/30/2023 21:00:00;9,319;7,865;8,592;68,534;70,767
03/30/2023 22:00:00;11,334;9,598;10,466;68,534;70,9
03/30/2023 23:00:00;9,462;8,049;8,7555;70,067;70
03/31/2023 00:00:00;6,053;5,026;5,5395;71,1;69,267
03/31/2023 01:00:00;3,877;3,099;3,488;71,333;69,5
03/31/2023 02:00:00;12,577;10,96;11,7685;69,8;70,966
03/31/2023 03:00:00;12,556;11,067;11,8115;69,966;71
03/31/2023 04:00:00;18,258;17,242;17,75;69,1;71
03/31/2023 05:00:00;70,457;66,591;68,524;69,034;71,9
03/31/2023 06:00:00;57,958;54,813;56,3855;69,033;72,2
03/31/2023 07:00:00;32,052;30,088;31,07;66,833;73,466
03/31/2023 08:00:00;13,043;12,079;12,561;55,834;78,733
03/31/2023 09:00:00;12,05;10,568;11,309;54,333;78,167
03/31/2023 10:00:00;11,608;10,775;11,1915;50,433;81,2
03/31/2023 11:00:00;12,306;11,21;11,758;45,466;84,267
03/31/2023 12:00:00;17,633;15,671;16,652;43,1;85,633
03/31/2023 13:00:00;11,245;10,058;10,6515;41,567;86,666
03/31/2023 14:00:00;5,277;4,407;4,842;41,758;86,55
03/31/2023 15:00:00;6,803;5,735;6,269;43,333;85,233
03/31/2023 16:00:00;7,679;6,881;7,28;44;83,434
03/31/2023 17:00:00;21,45;20,235;20,8425;49,067;80,067
03/31/2023 18:00:00;40,832;38,87;39,851;54,233;77,4
03/31/2023 19:00:00;43,913;41,582;42,7475;58,234;76,367
03/31/2023 20:00:00;17,822;16,143;16,9825;62,133;74,7
03/31/2023 21:00:00;10,473;9,687;10,08;65,633;73,566
03/31/2023 22:00:00;5,628;4,982;5,305;65,067;72,267
03/31/2023 23:00:00;5,16;4,438;4,799;65,8;71,4
04/01/2023 00:00:00;3,974;3,329;3,6515;65;70,267
04/01/2023 01:00:00;3,387;2,785;3,086;64,133;69,334
04/01/2023 02:00:00;4,213;3,582;3,8975;64,267;69
04/01/2023 03:00:00;11,08;10,053;10,5665;63,2;69,334
04/01/2023 04:00:00;11,005;9,969;10,487;63,034;69,066
04/01/2023 05:00:00;17,675;16,444;17,0595;64,5;68,8
04/01/2023 06:00:00;36,714;35,503;36,1085;62,666;71,067
04/01/2023 07:00:00;28,851;27,005;27,928;59,834;72,567
04/01/2023 08:00:00;13,244;12,014;12,629;54,6;76,934
04/01/2023 09:00:00;13,535;12,389;12,962;47,767;81,3
04/01/2023 10:00:00;20,288;18,91;19,599;41,084;83,37
04/01/2023 11:00:00;12,796;11,847;12,3215;35,5;86,067
04/01/2023 12:00:00;10,153;9,124;9,6385;33,1;87,066
04/01/2023 13:00:00;4,405;3,835;4,12;33,367;87,1
04/01/2023 14:00:00;4,333;3,675;4,004;35,834;86,666
04/01/2023 15:00:00;7,163;6,348;6,7555;38,466;85,033
04/01/2023 16:00:00;20,309;18,853;19,581;42,4;83,034
04/01/2023 17:00:00;22,666;21,21;21,938;48,133;79,967
04/01/2023 18:00:00;28,393;26,155;27,274;52,066;78
04/01/2023 19:00:00;20,409;18,881;19,645;54,666;76,867
04/01/2023 20:00:00;12,959;11,787;12,373;60;74,867
04/01/2023 21:00:00;10,087;8,944;9,5155;64,233;73,466
04/01/2023 22:00:00;8,314;7,236;7,775;65,133;73,2
04/01/2023 23:00:00;6,86;6,127;6,4935;65;73
04/02/2023 00:00:00;6,427;5,702;6,0645;64,9;73
04/02/2023 01:00:00;8,607;7,94;8,2735;63,633;73
04/02/2023 02:00:00;9,204;8,384;8,794;63,7;72,867
04/02/2023 03:00:00;8,039;7,259;7,649;64,233;72
04/02/2023 04:00:00;11,718;10,671;11,1945;64,333;72,066
04/02/2023 05:00:00;13,978;12,654;13,316;64,966;72
04/02/2023 06:00:00;21,718;19,955;20,8365;60,3;74,566
04/02/2023 07:00:00;15,758;14,573;15,1655;48,966;80,9
04/02/2023 08:00:00;13,666;12,654;13,16;56,267;74,733
04/02/2023 09:00:00;13,682;12,561;13,1215;53,666;77,467
04/02/2023 10:00:00;18,141;16,497;17,319;49,1;81,466
04/02/2023 11:00:00;13,383;12,066;12,7245;44,4;84,7
04/02/2023 12:00:00;13,076;11,912;12,494;42,7;86,034
04/02/2023 13:00:00;6,444;5,63;6,037;43,4;85,166
04/02/2023 14:00:00;7,921;7,059;7,49;45,933;83,4
04/02/2023 15:00:00;13,127;11,664;12,3955;53,666;81,867
04/02/2023 16:00:00;10,496;9,645;10,0705;50,167;81,267
04/02/2023 17:00:00;24,784;23,249;24,0165;54,166;78,8
04/02/2023 18:00:00;21,381;19,898;20,6395;58,934;76,133
04/02/2023 19:00:00;15,259;13,938;14,5985;63,233;74,5
04/02/2023 20:00:00;8,771;7,916;8,3435;66,133;73,233
04/02/2023 21:00:00;6,043;5,534;5,7885;67,367;73
04/02/2023 22:00:00;3,511;3,101;3,306;69,733;71,534
04/02/2023 23:00:00;0,195;0,182;0,1885;70,733;68,966
04/03/2023 00:00:00;0,179;0,086;0,1325;69,7;70
04/03/2023 01:00:00;0,175;0,169;0,172;68,667;70,166
04/03/2023 02:00:00;0,524;0,456;0,49;69,6;69,4
04/03/2023 03:00:00;2,71;2,346;2,528;69,1;68,6
04/03/2023 04:00:00;13,259;12,005;12,632;68,534;68,6
04/03/2023 05:00:00;22,373;21,498;21,9355;68,767;68,166
04/03/2023 06:00:00;21,118;19,342;20,23;68,334;69,067
04/03/2023 07:00:00;23,029;21,217;22,123;64,4;70,9
04/03/2023 08:00:00;19,003;17,122;18,0625;60,734;73,133
04/03/2023 09:00:00;26,166;24,139;25,1525;54,666;76,6
04/03/2023 10:00:00;18,951;16,925;17,938;46,5;81,342
04/03/2023 11:00:00;19,023;17,21;18,1165;43,033;83,334
04/03/2023 12:00:00;19,008;17,37;18,189;40,567;85,367
04/03/2023 13:00:00;30,389;27,898;29,1435;38,933;86,7
04/03/2023 14:00:00;21,046;19,044;20,045;36,434;87,034
04/03/2023 15:00:00;26,624;24,6;25,612;37,8;86,566
04/03/2023 16:00:00;27,553;26,054;26,8035;42,933;83,7
04/03/2023 17:00:00;25,058;23,864;24,461;52,166;79,267
04/03/2023 18:00:00;35,126;33,242;34,184;56,633;77,067
04/03/2023 19:00:00;27,027;25,583;26,305;56,233;76,6
04/03/2023 20:00:00;22,479;20,489;21,484;58,6;75,934
04/03/2023 21:00:00;20,561;19,729;20,145;61,6;76
04/03/2023 22:00:00;16,669;15,537;16,103;65,3;74,966
04/03/2023 23:00:00;11,991;10,95;11,4705;67,166;73,6
04/04/2023 00:00:00;12,21;11,122;11,666;69;72,133
04/04/2023 01:00:00;14,401;13,448;13,9245;68,133;72,767
04/04/2023 02:00:00;10,38;9,754;10,067;66,934;73,534
04/04/2023 03:00:00;14,622;13,529;14,0755;67,8;72,9
04/04/2023 04:00:00;27,146;25,616;26,381;67,733;72,7
04/04/2023 05:00:00;45,671;43,623;44,647;67,333;72,433
04/04/2023 06:00:00;50,99;48,965;49,9775;66,767;73,166
04/04/2023 07:00:00;39,329;37,77;38,5495;62,234;75,7
04/04/2023 08:00:00;20,809;19,2;20,0045;54,733;80
04/04/2023 09:00:00;19,989;18,814;19,4015;47,7;84,033
04/04/2023 10:00:00;20,378;18,593;19,4855;46;85,133
04/04/2023 11:00:00;13,545;12,074;12,8095;43,367;86,5
04/04/2023 12:00:00;17,053;15,473;16,263;45,6;84,433
04/04/2023 13:00:00;13,534;12,255;12,8945;46,367;83,967
04/04/2023 14:00:00;14,178;12,954;13,566;45;83,767
04/04/2023 15:00:00;15,114;14,308;14,711;43,767;84,8
04/04/2023 16:00:00;18,931;17,2;18,0655;46,534;82,166
04/04/2023 17:00:00;32,289;30,484;31,3865;49,7;80,267
04/04/2023 18:00:00;35,704;34,574;35,139;56,071;77,606
04/04/2023 19:00:00;23,99;22,348;23,169;61,833;75,867
04/04/2023 20:00:00;24,428;22,88;23,654;62,8;76,133
04/04/2023 21:00:00;10,585;9,618;10,1015;63,1;75,034
04/04/2023 22:00:00;8,788;7,825;8,3065;64,934;73,966
04/04/2023 23:00:00;7,765;7,058;7,4115;64,8;74
04/05/2023 00:00:00;10,793;9,557;10,175;66,034;73,567
04/05/2023 01:00:00;10,503;9,193;9,848;65,7;74
04/05/2023 02:00:00;9,471;8,579;9,025;65,467;73,1
04/05/2023 03:00:00;14,484;13,245;13,8645;65,733;73
04/05/2023 04:00:00;26,258;24,617;25,4375;65;72,966
04/05/2023 05:00:00;46,688;44,353;45,5205;67,933;71,466
04/05/2023 06:00:00;39,163;37,979;38,571;72,434;70,2
04/05/2023 07:00:00;37,765;35,926;36,8455;70,6;72,267
04/05/2023 08:00:00;22,463;20,493;21,478;68,067;73
04/05/2023 09:00:00;30,145;28,241;29,193;64,883;74,3
04/05/2023 10:00:00;26,021;25,04;25,5305;57,367;76,733
04/05/2023 11:00:00;13,885;12,476;13,1805;50,334;80,133
04/05/2023 12:00:00;11,721;10,699;11,21;45,8;82,8
04/05/2023 13:00:00;9,054;8,355;8,7045;42,25;85,45
04/05/2023 14:00:00;10,232;9,116;9,674;43,466;84,034
04/05/2023 15:00:00;17,697;16,288;16,9925;44,4;83,7
04/05/2023 16:00:00;20,572;19,391;19,9815;48,733;80,6
04/05/2023 17:00:00;26,783;25,745;26,264;54,6;77,633
04/05/2023 18:00:00;27,444;25,919;26,6815;57,133;75,934
04/05/2023 19:00:00;16,9;14,747;15,8235;59,133;73,534
04/05/2023 20:00:00;13,55;12,472;13,011;64,133;72,2
04/05/2023 21:00:00;8,658;7,589;8,1235;67,7;72
04/05/2023 22:00:00;9,029;7,847;8,438;68,733;71,367
04/05/2023 23:00:00;3,553;2,989;3,271;69,334;70,934
04/06/2023 00:00:00;3,769;2,974;3,3715;69;71
04/06/2023 01:00:00;5,479;4,939;5,209;67,067;71,834
04/06/2023 02:00:00;6,466;5,778;6,122;67,2;71,334
04/06/2023 03:00:00;8,098;7,381;7,7395;67,6;71
04/06/2023 04:00:00;16,735;15,579;16,157;66,2;71,3
04/06/2023 05:00:00;36,181;35,037;35,609;67,534;70,8
04/06/2023 06:00:00;39,48;38,038;38,759;67,934;70,9
04/06/2023 07:00:00;26,488;24,494;25,491;66,7;71,233
04/06/2023 08:00:00;26,352;24,436;25,394;64,033;73
04/06/2023 09:00:00;27,366;25,822;26,594;57,766;76,534
04/06/2023 10:00:00;19,86;18,395;19,1275;52,85;78,5
04/06/2023 11:00:00;13,382;11,869;12,6255;50,933;79,767
04/06/2023 12:00:00;9,851;8,636;9,2435;47,266;81,8
04/06/2023 13:00:00;10,688;9,976;10,332;46,367;82,3
04/06/2023 14:00:00;10,163;9,198;9,6805;45,567;82,466
04/06/2023 15:00:00;13,218;12,09;12,654;46,433;81,666
04/06/2023 16:00:00;14,762;13,653;14,2075;48,666;79,3
04/06/2023 17:00:00;35,243;33,903;34,573;55,533;76,6
04/06/2023 18:00:00;31,738;30,178;30,958;60,6;74,367
04/06/2023 19:00:00;24,778;23,056;23,917;63,767;72,867
04/06/2023 20:00:00;14,357;13,105;13,731;64,867;72
04/06/2023 21:00:00;6,998;6,033;6,5155;64,633;72
04/06/2023 22:00:00;4,728;3,97;4,349;64,733;71,7
04/06/2023 23:00:00;6,072;5,414;5,743;65,4;71,1
04/07/2023 00:00:00;9,079;8,201;8,64;65,267;71
